"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"196","codmine02630","Unipe Nikupe",2021-07-01,"Ituri",52,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","Vert","Observed","Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"197","codmine02644","Bireshe",2023-03-19,"Nord-Kivu",120,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","Guidon","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"198","codmine02663","Musipi",2021-11-15,"Tanganyika",308,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Plus d'une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"Groupement","No traceability program","None","Observed","Transport des minerais","IPIS - USAID"
"199","codmine02667","Tukamba",2022-03-02,"Tanganyika",115,"Car or Motorbike","Less than 2h walk","Or",NA,NA,"Observed","Observed","Maï-Maï Bitonto","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser sous terre, Transport des minerais, Traiter les déchets","IPIS - USAID"
"200","codmine02676","Mandrupepe",2021-09-27,"Ituri",45,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Vert","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"201","codmine02680","Angola",2021-07-10,"Ituri",35,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"202","codmine02683","Camp Butembo",2021-07-17,"Ituri",2,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Rouge","None observed",NA,"IPIS - Madini"
"203","codmine02685","Mingazi Congo yasika",2021-07-06,"Ituri",30,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"204","codmine02686","Kaza Roho",2021-07-11,"Ituri",5,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Lavage","IPIS - Madini"
"205","codmine02701","Gecamine",2021-07-07,"Ituri",12,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
