"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"256","codmine00805","Waninki",2021-09-28,"Sud-Kivu",23,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"257","codmine00808","Kabereke",2021-09-26,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"258","codmine00813","Museka",2022-09-24,"Sud-Kivu",150,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Anti-fraude","Chefferie","No traceability program","Vert","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"259","codmine00814","Buzumbura (1 et 2)",2022-09-23,"Sud-Kivu",0,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","No data",NA,"IPIS - USAID"
"260","codmine00815","Bujumbura",2022-09-22,"Sud-Kivu",200,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Anti-fraude","Chefferie","No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"261","codmine00820","Itabi",2023-03-13,"Sud-Kivu",0,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"262","codmine00821","Bikolongo",2023-03-13,"Sud-Kivu",180,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","Vert","None observed",NA,"IPIS - USAID"
"263","codmine00826","Bofutakasheshe-Kamba",2022-01-01,"Sud-Kivu",0,"No data","No data","Or","Wolframite",NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"264","codmine00827","Ngandjo",2022-01-01,"Sud-Kivu",0,"No data","No data","Wolframite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"265","codmine00833","Kitendebwa",2022-01-26,"Sud-Kivu",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser sous terre, Lavage","IPIS - USAID"
