Unnamed: 0,name,visit_date,province,workers_numb,mineral1,mineral2,mineral3,mercury,interference,armed_group1,armed_group2,armed_group3,state_service1,state_service2,state_service3,state_service4,childunder15work
147,Kanyabayonga,2021-09-24,Maniema,235,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets, Usage du mercure"
148,Kalukungu,2021-09-21,Maniema,135,Or,,,None observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),FARDC,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
149,Omo bleu,2021-10-01,Maniema,140,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,DGI,"Creuser, Traiter les déchets, Machiniste de détecteur des métaux"
150,Ogobinako,2022-07-29,Maniema,89,Cassitérite,,,No data,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,,
151,Amangandja,2022-07-30,Maniema,85,Coltan,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
152,Faire part,2022-07-30,Maniema,0,Coltan,,,No data,None observed,,,,,,,,
153,Kamiyeye,2022-07-30,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
154,Kasamoto,2022-07-30,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
155,Goma,2022-07-26,Maniema,0,Or,,,No data,None observed,,,,,,,,
156,Madjiwe,2022-07-26,Maniema,0,Or,,,No data,None observed,,,,,,,,
157,Dibaloba/Kima,2022-07-26,Maniema,90,Or,,,Observed,Observed,FARDC,FARDC,,SAEMAPE,Division des mines,,ANR,
158,Atwamani,2022-07-26,Maniema,280,Or,,,Observed,Observed,FARDC,FARDC,,SAEMAPE,Division des mines,ANR,DGM,
159,Simbizi,2022-07-26,Maniema,0,Or,,,No data,None observed,,,,,,,,
160,Kasengene,2022-07-31,Maniema,0,Or,Cassitérite,,No data,None observed,,,,,,,,
161,Tambulamalembe,2022-07-31,Maniema,0,Or,,,No data,None observed,,,,,,,,
162,Gboto,2022-02-24,Maniema,67,Or,,,Observed,None observed,,,,Division des mines,,,,
163,Malimingi I,2022-02-24,Maniema,0,Or,,,No data,None observed,,,,,,,,
164,Ekololo,2022-02-24,Maniema,0,Or,,,No data,None observed,,,,,,,,
165,Masaba II,2022-02-24,Maniema,0,Diamant,,,No data,None observed,,,,,,,,
166,Mubunge,2022-02-24,Maniema,0,Or,,,No data,None observed,,,,,,,,
167,Katanga,2022-02-26,Maniema,60,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
168,Hewa bora,2022-02-26,Maniema,65,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
169,Boma,2022-02-26,Maniema,72,Cassitérite,,,No data,None observed,FARDC,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
170,Ungbe,2022-03-04,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
171,Tshamaka 3,2022-03-04,Maniema,89,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets, Exploitent sur le lit de rivières après la pluie."
172,Tshamaka 2,2022-03-04,Maniema,130,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
173,Amakinga,2022-03-04,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
174,Gonga,2022-03-04,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
175,Kakota 1,2022-03-04,Maniema,75,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
176,Lubondozi 3,2021-12-03,Maniema,0,Or,,,No data,None observed,,,,,,,,
177,Katamu,2021-12-05,Maniema,0,Or,,,No data,None observed,,,,,,,,
178,Kimabwe 1,2021-12-05,Maniema,0,Or,,,No data,None observed,,,,,,,,
179,Lubondozi 1,2021-12-01,Maniema,85,Or,,,None observed,Observed,FARDC,Maï-Maï Malaika,,SAEMAPE,Division des mines,,,
180,Katoto/Kimabwe,2021-12-03,Maniema,125,Or,,,None observed,Observed,FARDC,Maï-Maï Malaika,,SAEMAPE,Division des mines,,,
